Date,Sampling #,Year,Year Day,Ring,Plot,Species observed,Initial Growth subplot 1,Initial Growth subplot 2,Initial Growth subplot 3,Leaves subplot 1,Leaves subplot 2,Leaves subplot 3,Flower subplot 1,Flower subplot 2,Flower subplot 3,Open Flowers subplot 1,Open Flowers subplot 2,Open Flowers subplot 3,Fruits subplot 1,Fruits subplot 2,Fruits subplot 3,Ripe Fruits subplot 1,Ripe Fruits subplot 2,Ripe Fruits subplot 3,Notes
6/15/2012,1,2012,167,1,7,agrre,,,,1,1,1,1,,,,,,,,,,,,
6/15/2012,1,2012,167,1,7,luppe,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,7,solri,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,11,broin,,,,1,1,1,,,,,,,,1,,,,,
6/15/2012,1,2012,167,1,11,lesca,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,11,luppe,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,11,schsc,,,,1,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,11,solri,,,,,,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,17,aggre,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,17,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,17,lesca,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,17,solri,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,21,agrre,,,,1,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,21,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,21,broin,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,21,poapr,,,,1,1,1,,,,,,,,,1,,,1,
6/15/2012,1,2012,167,1,21,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,26,agrre,,,,1,1,1,1,1,,,,,,,,,,,
6/15/2012,1,2012,167,1,26,luppe,,,,1,1,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,26,poapr,,,,1,1,1,,,,,,,1,,1,1,,1,
6/15/2012,1,2012,167,1,26,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,34,agrre,,,,1,,,1,,,1,,,,,,,,,
6/15/2012,1,2012,167,1,34,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,34,broin,,,,1,1,1,,,,,,,1,1,1,1,,,
6/15/2012,1,2012,167,1,34,lesca,,,,1,1,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,34,luppe,,,,1,1,1,,,,,,,1,,,1,,,
6/15/2012,1,2012,167,1,48,agrre,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,48,broin,,,,1,1,1,,,,,,,,1,,,1,,
6/15/2012,1,2012,167,1,48,lesca,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,48,luppe,,,,1,1,1,,,,,,,,1,1,,1,1,
6/15/2012,1,2012,167,1,48,poapr,,,,1,1,1,,,,,,,1,1,1,1,1,1,
6/15/2012,1,2012,167,1,48,schsc,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,50,andge,,,,1,1,1,1,,,,,,,,,,,,
6/15/2012,1,2012,167,1,50,luppe,,,,1,1,1,,,,,,,1,1,1,,,,
6/15/2012,1,2012,167,1,50,poapr,,,,1,1,1,,,,,,,,1,,,1,,
6/15/2012,1,2012,167,1,50,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,1,50,solri,,,,,,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,66,broin,,,,1,1,1,,,,,,,1,1,,,,,
6/15/2012,1,2012,167,2,66,lesca,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,66,luppe,,,,1,1,1,,,,,,,,1,1,,1,,
6/15/2012,1,2012,167,2,66,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,84,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,84,lesca,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,84,luppe,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,84,poapr,,,,1,1,1,,,,,,,1,1,1,1,1,1,
6/15/2012,1,2012,167,2,84,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,87,agrre,,,,1,1,1,,,1,,,,,,,,,,
6/15/2012,1,2012,167,2,87,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,87,lesca,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,87,luppe,,,,1,1,1,,,,,,,,1,1,,,,
6/15/2012,1,2012,167,2,87,poapr,,,,1,1,1,,,,,,,1,1,,1,1,,
6/15/2012,1,2012,167,2,87,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,92,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,92,broin,,,,1,1,1,,,,,,,,1,,,1,,
6/15/2012,1,2012,167,2,92,solri,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,97,agrre,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,97,broin,,,,1,1,1,,,,,,,1,1,1,1,,,
6/15/2012,1,2012,167,2,97,lesca,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,106,agrre,,,,1,1,1,,,,1,1,,,,,,,,
6/15/2012,1,2012,167,2,106,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,106,luppe,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,106,poapr,,,,1,1,1,,,,,,,1,1,1,1,1,1,
6/15/2012,1,2012,167,2,106,schsc,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,117,agrre,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,117,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,117,broin,,,,1,1,1,,,,,,,1,1,1,,1,,
6/15/2012,1,2012,167,2,117,poapr,,,,1,1,1,,,,,,,1,,1,1,,1,
6/15/2012,1,2012,167,2,117,solri,,,,,1,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,119,agrre,,,,,,,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,119,andge,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,119,broin,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,119,lesca,,,,1,1,1,,,,,,,,,,,,,
6/15/2012,1,2012,167,2,119,schsc,,,,1,1,1,,,,,,,,,,,,,
