Date,Sampling #,Year,Year Day ,Ring,Plot,Species observed,Initial Growth subplot 1,Initial Growth subplot 2,Initial Growth subplot 3,Leaves subplot 1,Leaves subplot 2,Leaves subplot 3,Flower subplot 1,Flower subplot 2,Flower subplot 3,Open Flowers subplot 1,Open Flowers subplot 2,Open Flowers subplot 3,Fruits subplot 1,Fruits subplot 2,Fruits subplot 3,Ripe Fruits subplot 1,Ripe Fruits subplot 2,Ripe Fruits subplot 3,Notes,
5/9/2023,1,2023,129,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
5/16/2023,2,2023,136,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
5/22/2023,3,2023,142,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
5/31/2023,4,2023,151,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
6/6/2023,5,2023,157,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
6/13/2023,6,2023,164,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
6/20/2023,7,2023,171,1,7,agrre,,,,1,1,1,,1,1,,1,1,,,,,,,,
6/27/2023,8,2023,178,1,7,agrre,,,,1,1,1,,,,,1,1,,,,,,,,
7/3/2023,9,2023,184,1,7,agrre,,,,1,1,1,,,,,,1,,,,,,,,
7/10/2023,10,2023,191,1,7,agrre,,,,1,1,1,,,,,,,,,1,,,,,
7/18/2023,11,2023,199,1,7,agrre,,,,1,1,1,,,,,,,,,1,,,,,
7/24/2023,12,2023,205,1,7,agrre,,,,1,1,1,,,,,,,,,,,,1,,
8/2/2023,13,2023,214,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
8/7/2023,14,2023,219,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
8/15/2023,15,2023,227,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
8/21/2023,16,2023,233,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
8/28/2023,17,2023,240,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
9/5/2023,18,2023,248,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
9/11/2023,19,2023,254,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
9/18/2023,20,2023,261,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
9/26/2023,21,2023,269,1,7,agrre,,,,1,1,1,,,,,,,,,,,,,,
5/9/2023,1,2023,129,1,7,luppe,,,,1,1,1,,,,,,,,,,,,,,
5/16/2023,2,2023,136,1,7,luppe,,,,1,1,1,1,1,1,,,,,,,,,,,
5/22/2023,3,2023,142,1,7,luppe,,,,1,1,1,1,1,1,1,,,,,,,,,,
5/31/2023,4,2023,151,1,7,luppe,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,
6/6/2023,5,2023,157,1,7,luppe,,,,1,1,1,,,,,,,1,1,1,,,,,
6/13/2023,6,2023,164,1,7,luppe,,,,1,1,1,,,,,,,1,1,1,,,,,
6/20/2023,7,2023,171,1,7,luppe,,,,1,1,,,,,,,,,,,,1,,Done (3),
