Date,Ring,Plot,Species,Initial.Growth.subplot.1,Initial.Growth.subplot.2,Initial.Growth.subplot.3,Leaves.subplot.1,Leaves.subplot.2,Leaves.subplot.3,Flower.subplot.1,Flower.subplot.2,Flower.subplot.3,Open.Flowers.subplot.1,Open.Flowers.subplot.2,Open.Flowers.subplot.3,OpenFlowerCount_WholePlot,Fruits.subplot.1,Fruits.subplot.2,Fruits.subplot.3,Ripe.Fruits.subplot.1,Ripe.Fruits.subplot.2,Ripe.Fruits.subplot.3,Notes
5/12/2021,1,7,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,7,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,7,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,11,broin,1,1,1,,,1,,,,,,,,,,,,,,Brom or schs? For 1 &2
5/12/2021,1,11,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,11,luppe,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,1,11,schsc,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,1,11,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,17,aggre,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,17,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,17,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,17,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,21,agrre,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,1,21,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,21,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,21,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,1,21,schsc,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,1,26,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,3?
5/12/2021,1,26,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,26,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,1,26,schsc,1,,,,,,,,,,,,,,,,,,,
5/12/2021,1,34,agrre,1,,1,,,1,,,,,,,,,,,,,,
5/12/2021,1,34,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,34,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,34,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,34,luppe,1,,,1,,,,,,,,,,,,,,,,
5/12/2021,1,48,agrre,1,1,,1,1,,,,,,,,,,,,,,,
5/12/2021,1,48,broin,,,1,,,,,,,,,,,,,,,,,
5/12/2021,1,48,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,48,luppe,1,,1,1,,1,1,,1,,,,,,,,,,,
5/12/2021,1,48,poapr,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/12/2021,1,48,schsc,1,,,,,,,,,,,,,,,,,,,
5/12/2021,1,50,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,1,50,luppe,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,1,50,poapr,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/12/2021,1,50,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,1,50,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,66,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
