Date,MaxTemp(degF),MinTemp(degF),Precip(inches),TempSource,PrecipSource
11/1/1962,47,23,0,Cedar Weather Station,Cedar Weather Station
11/2/1962,40,35,0,Cedar Weather Station,Cedar Weather Station
11/3/1962,46,24,0,Cedar Weather Station,Cedar Weather Station
11/4/1962,38,28,0,Cedar Weather Station,Cedar Weather Station
11/5/1962,37,16,0,Cedar Weather Station,Cedar Weather Station
11/6/1962,50,27,0,Cedar Weather Station,Cedar Weather Station
11/7/1962,45,32,0,Cedar Weather Station,Cedar Weather Station
11/8/1962,39,27,0,Cedar Weather Station,Cedar Weather Station
11/9/1962,47,23,0,Cedar Weather Station,Cedar Weather Station
11/10/1962,48,19,0,Cedar Weather Station,Cedar Weather Station
11/11/1962,46,34,0,Cedar Weather Station,Cedar Weather Station
11/12/1962,47,28,0,Cedar Weather Station,Cedar Weather Station
11/13/1962,38,18,0,Cedar Weather Station,Cedar Weather Station
11/14/1962,49,32,0,Cedar Weather Station,Cedar Weather Station
11/15/1962,42,32,0.02,Cedar Weather Station,Cedar Weather Station
11/16/1962,37,32,0,Cedar Weather Station,Cedar Weather Station
11/17/1962,35,29,0,Cedar Weather Station,Cedar Weather Station
11/18/1962,35,26,0,Cedar Weather Station,Cedar Weather Station
11/19/1962,35,25,0,Cedar Weather Station,Cedar Weather Station
11/20/1962,59,32,0,Cedar Weather Station,Cedar Weather Station
11/21/1962,48,26,0,Cedar Weather Station,Cedar Weather Station
11/22/1962,36,18,0,Cedar Weather Station,Cedar Weather Station
11/23/1962,38,22,0.3,Cedar Weather Station,Cedar Weather Station
11/24/1962,43,20,0,Cedar Weather Station,Cedar Weather Station
11/25/1962,43,22,0,Cedar Weather Station,Cedar Weather Station
11/26/1962,50,33,0,Cedar Weather Station,Cedar Weather Station
11/27/1962,51,39,0,Cedar Weather Station,Cedar Weather Station
11/28/1962,49,40,0,Cedar Weather Station,Cedar Weather Station
11/29/1962,50,34,0,Cedar Weather Station,Cedar Weather Station
11/30/1962,52,40,0,Cedar Weather Station,Cedar Weather Station
12/1/1962,57,39,0,Cedar Weather Station,Cedar Weather Station
12/2/1962,57,37,0.01,Cedar Weather Station,Cedar Weather Station
12/3/1962,60,37,0,Cedar Weather Station,Cedar Weather Station
12/4/1962,57,33,0,Cedar Weather Station,Cedar Weather Station
12/5/1962,35,17,0.01,Cedar Weather Station,Cedar Weather Station
12/6/1962,26,10,0,Cedar Weather Station,Cedar Weather Station
12/7/1962,34,7,0,Cedar Weather Station,Cedar Weather Station
12/8/1962,28,17,0,Cedar Weather Station,Cedar Weather Station
12/9/1962,18,7,0,Cedar Weather Station,Cedar Weather Station
12/10/1962,12,1,0,Cedar Weather Station,Cedar Weather Station
12/11/1962,2,-10,0.01,Cedar Weather Station,Cedar Weather Station
12/12/1962,6,-26,0,Cedar Weather Station,Cedar Weather Station
12/13/1962,25,4,0,Cedar Weather Station,Cedar Weather Station
12/14/1962,26,-2,0,Cedar Weather Station,Cedar Weather Station
12/15/1962,33,25,0,Cedar Weather Station,Cedar Weather Station
12/16/1962,39,28,0,Cedar Weather Station,Cedar Weather Station
12/17/1962,47,21,0,Cedar Weather Station,Cedar Weather Station
12/18/1962,45,25,0,Cedar Weather Station,Cedar Weather Station
12/19/1962,38,23,0,Cedar Weather Station,Cedar Weather Station
12/20/1962,26,14,0,Cedar Weather Station,Cedar Weather Station
12/21/1962,26,18,0.01,Cedar Weather Station,Cedar Weather Station
12/22/1962,34,15,0.06,Cedar Weather Station,Cedar Weather Station
12/23/1962,17,-9,0,Cedar Weather Station,Cedar Weather Station
12/24/1962,17,-6,0,Cedar Weather Station,Cedar Weather Station
12/25/1962,16,-8,0.07,Cedar Weather Station,Cedar Weather Station
12/26/1962,15,-21,0,Cedar Weather Station,Cedar Weather Station
12/27/1962,23,-8,0.02,Cedar Weather Station,Cedar Weather Station
12/28/1962,34,4,0,Cedar Weather Station,Cedar Weather Station
12/29/1962,30,-3,0,Cedar Weather Station,Cedar Weather Station
12/30/1962,8,-1,0,Cedar Weather Station,Cedar Weather Station
12/31/1962,20,6,0,Cedar Weather Station,Cedar Weather Station
1/1/1963,25,19,0.01,Cedar Weather Station,Cedar Weather Station
1/2/1963,28,22,0,Cedar Weather Station,Cedar Weather Station
1/3/1963,30,24,0,Cedar Weather Station,Cedar Weather Station
1/4/1963,28,24,0,Cedar Weather Station,Cedar Weather Station
1/5/1963,31,14,0,Cedar Weather Station,Cedar Weather Station
1/6/1963,29,16,0.02,Cedar Weather Station,Cedar Weather Station
1/7/1963,42,28,0,Cedar Weather Station,Cedar Weather Station
1/8/1963,38,21,0,Cedar Weather Station,Cedar Weather Station
1/9/1963,38,18,0,Cedar Weather Station,Cedar Weather Station
1/10/1963,26,-3,0.04,Cedar Weather Station,Cedar Weather Station
1/11/1963,6,-5,0,Cedar Weather Station,Cedar Weather Station
1/12/1963,5,-2,0.17,Cedar Weather Station,Cedar Weather Station
1/13/1963,7,-14,0.01,Cedar Weather Station,Cedar Weather Station
1/14/1963,-3,-20,0,Cedar Weather Station,Cedar Weather Station
